query_hash,execution_time_with_aqo,execution_time_without_aqo,planning_time_with_aqo,planning_time_without_aqo,cardinality_error_with_aqo,cardinality_error_without_aqo,executions_with_aqo,executions_without_aqo
1309572083,"{0.08464972600000001,0.085844986,0.08606444099999999,0.08256562,0.085974774,0.08466892799999999,0.086035575,0.085594816,0.08520913399999999,0.085336683,0.085976868,0.083512777,0.083465154,0.08271994499999999,0.083824162,0.08470889100000001,0.08338994899999999,0.085745645,0.086481717,0.08530862}",{},"{0.01384777,0.011555729,0.012156946,0.011761918,0.011684709,0.011854606,0.011823804,0.011566761,0.011625516,0.011808346,0.011630553,0.01159075,0.011508436,0.011581557,0.011969173,0.012143195,0.01200236,0.011693785,0.011546498,0.011617964}",{},"{0.05331901388922656,0.05331901388922656,0.05331901388922656,0.05331901388922656,0.05331901388922656,0.05331901388922656,0.05331901388922656,0.05331901388922656,0.05331901388922656,0.05331901388922656,0.05331901388922656,0.05331901388922656,0.05331901388922656,0.05331901388922656,0.05331901388922656,0.05331901388922656,0.05331901388922656,0.05331901388922656,0.05331901388922656,0.05331901388922656}",{},271,0
1057419857,"{0.889710786,0.872654601,0.878867694,0.875859435,0.8780537110000001,0.879490446,0.876973134,0.872106482,0.887131617,0.897467637,0.879060198,0.876947066,0.875030084,0.876847764,0.873110292,0.8792789089999999,0.872406133,0.889685159,0.8762482850000001,0.872998337}",{},"{0.008345764,0.009052679,0.009277242,0.008682584,0.008579626,0.009115605,0.008661079,0.00874421,0.008624428,0.008753255,0.009016617,0.008675212,0.008832793,0.008401597,0.008309334,0.008694886,0.008747267,0.008768146,0.008489299,0.009114095}",{},"{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}",{},270,0
-1831240827,"{2.060595682,2.045352542,2.053954065,1.907606238,1.934167763,2.056799327,2.0600656219999998,2.0554429940000003,2.075687039,2.063694553,1.954205075,2.0507935820000003,2.054676031,2.074197255,2.058788893,2.043943784,2.069395883,2.0590258550000002,2.067655302,2.043528354}",{},"{0.017766789,0.017716232,0.017968084,0.0175614,0.017589455,0.017826855,0.018150298,0.017383624,0.017746248,0.017135878,0.017828265,0.017492462,0.017670554,0.017546313,0.017618833,0.017681354,0.018377606,0.017358496,0.017790728,0.017441999}",{},"{0.00984173593137001,0.00984173593137001,0.00984173593137001,0.00984173593137001,0.00984173593137001,0.00984173593137001,0.00984173593137001,0.00984173593137001,0.00984173593137001,0.00984173593137001,0.00984173593137001,0.00984173593137001,0.00984173593137001,0.00984173593137001,0.00984173593137001,0.00984173593137001,0.00984173593137001,0.00984173593137001,0.00984173593137001,0.00984173593137001}",{},270,0
1653241945,"{0.298538155,0.299254476,0.302724243,0.296456281,0.302464716,0.29560778,0.299933306,0.303225489,0.299019723,0.301000338,0.298997424,0.299426566,0.298919353,0.299908838,0.299652735,0.302025127,0.300948615,0.298078968,0.297754302,0.301074554}",{},"{0.009199307,0.009838424,0.008991582,0.008958527,0.00965466,0.00899069,0.008917515,0.009432185,0.009458397,0.009030831,0.009084115,0.009024074,0.009194177,0.009029748,0.009083251,0.009037666,0.009641202,0.009230544,0.009011028,0.009257797}",{},"{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}",{},270,0
2000559088,"{0.162483213,0.1650301,0.163784417,0.16510828200000002,0.165789958,0.165003168,0.164883178,0.16357991500000002,0.16229147,0.164361598,0.164612162,0.163564811,0.163078958,0.164885134,0.16355365800000002,0.16280028400000002,0.163709929,0.162047105,0.163539701,0.164872673}",{},"{0.008218614,0.008125517,0.008504852,0.008577025,0.008490627,0.008133467,0.008576319,0.008138824,0.008236403,0.008187493,0.008183939,0.008163181,0.008358744,0.008445019,0.008475829,0.008087243,0.008172517,0.008434514,0.008456247,0.008552289}",{},"{-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1}",{},270,0
1039395806,"{0.050048928,0.04996553299999999,0.049916025999999995,0.05046719899999999,0.049732873999999996,0.050217280999999996,0.050396617,0.05024480299999999,0.049957889,0.050992486000000004,0.050336969999999995,0.050756447999999996,0.050988939999999996,0.05007131099999999,0.050028828,0.04994667,0.049768799,0.050276107,0.049919005999999995,0.05058598400000001}",{},"{0.014718111,0.015253899,0.014801688,0.014956964,0.015339769,0.015289433,0.015152692,0.015067147,0.015106427,0.01488293,0.01496585,0.014998496,0.015147482,0.015742723,0.015114326,0.015208757,0.015326151,0.014945981,0.015121425,0.014986411}",{},"{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}",{},270,0
1168754743,"{0.019097293,0.01907449,0.019419851000000002,0.019043453999999998,0.019107238999999998,0.019180719000000006,0.019293222999999998,0.018976161000000002,0.019508617000000002,0.018924597,0.019112258,0.019253089999999997,0.019126895,0.019090049999999997,0.019013928,0.019162632,0.019003584,0.019170222,0.018950427,0.019330339000000002}",{},"{0.014747227,0.014858853,0.01501371,0.014833691,0.015107068,0.014841545,0.014795575,0.014843513,0.014741606,0.015039285,0.014769188,0.015120207,0.015278981,0.014755571,0.01525406,0.014891766,0.015143805,0.015141482,0.015014844,0.014888576}",{},"{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}",{},270,0
-195594584,"{0.261360366,0.26309688800000003,0.26478097,0.267901422,0.264502394,0.264317348,0.261715362,0.26409233099999996,0.263522636,0.264064645,0.26551277900000003,0.264692176,0.264509795,0.260477276,0.263269439,0.262303063,0.269020141,0.262858612,0.263570876,0.26603916800000005}",{},"{0.002981715,0.002870467,0.002886019,0.002916279,0.002999138,0.003016511,0.002900995,0.002835291,0.002871821,0.003215373,0.002824473,0.002871623,0.003134672,0.002904446,0.00284796,0.002892484,0.003067145,0.002907734,0.002907715,0.002895161}",{},"{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}",{},271,0
-595026657,"{0.127657949,0.12866942099999998,0.128336657,0.12502570400000002,0.126471227,0.126409127,0.12812502599999998,0.126284662,0.12852678399999998,0.128486408,0.128247189,0.12652102699999998,0.128489595,0.128294507,0.128757274,0.12657011399999998,0.12782553000000002,0.127330354,0.126865733,0.126707543}",{},"{0.00456632,0.0043372,0.004397488,0.00443934,0.004343752,0.004426671,0.004330872,0.004367173,0.004376592,0.004272085,0.004641747,0.004314478,0.004534035,0.004662389,0.004300424,0.004626392,0.004447764,0.004482811,0.004382261,0.004306067}",{},"{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}",{},271,0
1084577692,"{0.16917887,0.168705995,0.1701367,0.170762954,0.167756608,0.170283743,0.16748149599999998,0.168589994,0.16880330799999999,0.16826533,0.16868465900000001,0.168842387,0.168902775,0.16911115999999998,0.169610723,0.16837319,0.167799752,0.168130535,0.16910635000000002,0.16916983400000002}",{},"{0.016753952,0.016760671,0.016572799,0.016873199,0.016933484,0.016637111,0.017037287,0.016430304,0.016564544,0.017672759,0.016500722,0.017018819,0.01664261,0.016537924,0.016751562,0.016671852,0.017354809,0.016652259,0.016912715,0.0172104}",{},"{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}",{},271,0
